File,File information
https://raw.githubusercontent.com/katiemillsau/datavisualisationuwa/master/Week%203%20files/Open%20Day%202014%20commuter%20tram%20outside%20the%20Reid%20Library.JPG,UWA. (2014). Commuter tram outside Reid Library. Retrieved from Library photographs.
https://raw.githubusercontent.com/katiemillsau/datavisualisationuwa/master/Week%203%20files/Winthrop%20Hall%20on%20Open%20Day%202014.JPG,UWA. (2014). Winthrop Hall on Open Day 2014. Retrieved from Library photographs.
https://raw.githubusercontent.com/katiemillsau/datavisualisationuwa/master/Week%203%20files/IMG_4570.JPG,UWA. (2015). Pursue Impossible hot air balloon on Open Day 2015. Retrieved from Library photographs.
https://raw.githubusercontent.com/katiemillsau/datavisualisationuwa/master/Week%203%20files/Stilt_walkers_Reid.jpg,UWA. (2017). Stilt walkers outside the Reid Library. Retrieved from Library photographs.
https://raw.githubusercontent.com/katiemillsau/datavisualisationuwa/master/Week%203%20files/DSC_0612.JPG,UWA. (2015). Drone flying above the Reid Library. Retrieved from Library photographs.
